                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.8314,                 2.1272,                 1.8914,                0.72521,                0.54051,                0.63389,                0.17951,                 2.1807,                 2.3418,                  2.375,              0.0019505,              0.0019505,              0.0019505
                     48,                 1.8052,                 2.0761,                 1.9225,                      1,                0.58926,                0.70241,                0.16635,                 2.0952,                 2.3639,                 2.3343,              0.0019494,              0.0019494,              0.0019494
                     49,                 1.7321,                 2.0599,                 1.8826,                0.62334,                    0.6,                0.58667,                 0.1859,                 2.2742,                 2.6977,                 2.6567,              0.0019483,              0.0019483,              0.0019483
                     50,                 1.7226,                 1.9501,                 1.8066,                0.29497,                    0.6,                0.31556,                0.10311,                 2.2495,                 2.7243,                 2.4715,              0.0019472,              0.0019472,              0.0019472
                     51,                 1.7369,                 2.1382,                 1.8266,                0.64366,                 0.3724,                0.39211,                0.16136,                 2.1141,                 2.5595,                 2.3478,              0.0019461,              0.0019461,              0.0019461
                     52,                 1.7174,                 2.0181,                 1.8059,                0.64739,                0.37687,                0.46245,                0.22475,                 1.7497,                 2.2359,                 1.9902,               0.001945,               0.001945,               0.001945
                     53,                 1.7359,                 1.9184,                 1.7893,                      1,                0.39102,                0.57056,                0.22187,                 1.7334,                 2.0706,                 2.0016,              0.0019439,              0.0019439,              0.0019439
                     54,                 1.6706,                 2.0315,                 1.7266,                0.58368,                    0.6,                0.55439,                0.21159,                  1.944,                 3.2657,                 2.0681,              0.0019428,              0.0019428,              0.0019428
                     55,                   1.72,                 1.8944,                 1.8197,                0.49728,                0.79239,                0.50048,                0.15732,                 2.0485,                 3.6918,                 1.9899,              0.0019417,              0.0019417,              0.0019417
                     56,                 1.6321,                 1.8178,                 1.6913,                0.56053,                    0.6,                0.58167,                0.16649,                  2.269,                 2.5521,                  2.167,              0.0019406,              0.0019406,              0.0019406
                     57,                 1.7301,                 1.9479,                 1.7667,                0.72802,                    0.6,                0.71536,                0.26688,                 2.0568,                 2.0875,                 2.1096,              0.0019395,              0.0019395,              0.0019395
                     58,                 1.7222,                 1.9019,                 1.7937,                0.79911,                    0.6,                0.66643,                0.25153,                 1.9486,                 1.8436,                 1.9649,              0.0019384,              0.0019384,              0.0019384
                     59,                  1.699,                 1.9103,                 1.7567,                0.60862,                    0.6,                0.66936,                0.21577,                 1.9216,                 1.9742,                 1.9093,              0.0019373,              0.0019373,              0.0019373
                     60,                 1.7083,                 1.8794,                 1.7155,                0.47006,                0.71617,                0.63346,                0.23357,                 2.1045,                 1.9594,                 2.0269,              0.0019362,              0.0019362,              0.0019362
                     61,                 1.7127,                 1.7785,                  1.756,                0.54401,                    0.8,                0.83944,                0.30723,                 1.8983,                 2.2003,                 2.1016,              0.0019351,              0.0019351,              0.0019351
                     62,                 1.7277,                 1.9641,                 1.8141,                 0.5788,                    0.8,                0.85333,                0.28769,                 2.0378,                 3.4059,                 2.3461,               0.001934,               0.001934,               0.001934
                     63,                 1.6957,                 1.9155,                 1.7283,                0.81693,                0.90156,                0.92833,                0.36516,                 1.9556,                  3.465,                 2.1376,              0.0019329,              0.0019329,              0.0019329
                     64,                  1.747,                 1.8499,                 1.8279,                0.53928,                    0.8,                0.70929,                0.27439,                 1.9129,                 3.5284,                 2.1837,              0.0019318,              0.0019318,              0.0019318
                     65,                 1.7753,                 1.9169,                 1.8334,                0.79062,                0.76248,                0.68306,                0.14985,                 1.9009,                 3.0763,                 2.3061,              0.0019307,              0.0019307,              0.0019307
                     66,                 1.8529,                 2.1324,                  1.833,                0.39143,                    0.6,                 0.4897,                0.11263,                 1.9406,                 2.9795,                 2.4739,              0.0019296,              0.0019296,              0.0019296
                     67,                 1.6335,                 1.9327,                 1.7553,                0.37374,                    0.8,                0.59976,                 0.2024,                  1.848,                 2.4806,                 2.2359,              0.0019285,              0.0019285,              0.0019285
